id,name,flurname,gemarkung,typ,sitetype,wkt
2,Hohenfinow 10,Struwenberg,Hohenfinow,Einzel-/Lesefunde,ds,POINT (13.9298055943383 52.8274620574839)
3,Egsdorf bei Königs Wusterhausen 2,Schmidts Acker,Egsdorf bei Königs Wusterhausen,Einzel-/Lesefunde,ds,POINT (13.5751209183095 52.1238876997843)
4,Gallun 4,,Gallun,Einzel-/Lesefunde,ds,POINT (13.5577360107329 52.2482428722165)
5,Hohenbrück 3,,Hohenbrück,Siedlung / Befestigung u.ä.,ds,POINT (13.9061497197174 52.0999192589813)
6,Kaden 4,,Kaden,Einzel-/Lesefunde,ds,POINT (13.8034684990564 51.9065771715704)
7,Neuendorf am See 13,,Neuendorf am See,Einzel-/Lesefunde,ds,POINT (13.8801446514295 52.1012036059188)
8,Neuendorf am See 6,,Neuendorf am See,Einzel-/Lesefunde,ds,POINT (13.8787796612809 52.0974143164012)
9,Selchow 7,,Selchow,Einzel-/Lesefunde,es,POINT (13.4682086474743 52.3525830057769)
10,Lübben Steinkirchen 6,,Lübben Steinkirchen 6,Einzel-/Lesefunde,ds,POINT (13.9248020668579 51.9068490790357)
11,Brottewitz 8,,Brottewitz,Siedlung / Befestigung u.ä.,es,POINT (13.2462762802107 51.4705372020643)
12,Elsterwerda 10,,Elsterwerda,Siedlung / Befestigung u.ä.,ds,POINT (13.5586988021946 51.4398316239272)
13,Booßen 2,,Booßen,Siedlung / Befestigung u.ä.,ds,POINT (14.4891514077344 52.3751537006729)
1,Seelow 20,,Seelow,Siedlung,es,POINT (14.3833333255572 52.5452775430815)
14,Neupetershain 5/33 (5),,Neupetershain,Einzel-/Lesefunde,es,POINT (14.189614353341 51.6068726263749)
15,Trebatsch 1,Sabrodt 1,Sabrodt,Einzel-/Lesefunde,ds,POINT (14.1985845087684 52.0849261660395)
16,Drebkau 2,,Drebkau,Einzel-/Lesefunde,es,POINT (14.2260737668818 51.6503688034177)
17,Neuendorf 23,,Neuendorf,Einzel-/Lesefunde,es,POINT (14.417554004278 51.8011468406747)
18,Bochow 15,,Bochow,Einzel-/Lesefunde,ds,POINT (13.085296860556 51.9626182078923)
19,Bochow 16,,Bochow,Siedlung / Befestigung u.ä.,es,POINT (13.0815683800061 51.9630071146682)
20,Bochow 2,,Bochow,Einzel-/Lesefunde,es,POINT (13.0692830806605 51.9623206773578)
21,Bochow 6,,Bochow,Einzel-/Lesefunde,ds,POINT (13.0858993739255 51.9635092440072)
22,Bochow 7,,Bochow,Einzel-/Lesefunde,ds,POINT (13.0847532115604 51.9647854812076)
23,Groß Kienitz 7,,Groß Kienitz,Einzel-/Lesefunde,es,POINT (13.4551075002326 52.3269941183066)
24,Jüterbog 31,Starenberg / Jüterbog-Damm??,Jüterbog,Einzel-/Lesefunde,ds,POINT (13.0492011888627 51.9896677289187)
25,Rohrbeck 14,,Rohrbeck,Siedlung / Befestigung u.ä.,ds,POINT (13.0316686141939 51.965663321984)
26,Angermünde 41,,Angermünde,Einzel-/Lesefunde,ds,POINT (14.0133745411872 52.9992823167434)
27,Berkholz zu Berkholz-Meyenburg 5,,Berkholz zu Berkholz-Meyenburg,Einzel-/Lesefunde,ds,POINT (14.1862300013802 53.0625025101861)
28,Berkholz zu Berkholz-Meyenburg 8,,Berkholz zu Berkholz-Meyenburg,Einzel-/Lesefunde,ds,POINT (14.1895328419857 53.0614463027942)
29,Flemsdorf 10,,Flemsdorf,Siedlung / Befestigung u.ä.,es,POINT (14.1641122617899 53.0302292598348)
30,Flemsdorf 6/1 (6),,Flemsdorf,Siedlung / Befestigung u.ä.,es,POINT (14.1650907441802 53.0305238006921)
