id,type,kontext_id,archivnr
1,Wandscherbe,1,18/6/1
2,Wandscherbe,1,18/6/1
3,Wand- oder Bodenscherbe,1,18/6/1
4,Wandscherbe,1,18/6/1
5,Wandscherbe,1,18/6/1
6,Wandscherbe,1,18/6/1
7,Wandscherbe,1,18/6/1
8,Wandscherbe,1,18/6/1
9,Wandscherbe,1,18/6/1
10,Wandscherbe,1,18/6/1
11,Wandscherbe,1,18/6/1
12,Wandscherbe,1,18/6/1
13,Wandscherbe,1,18/6/1
14,Wandscherbe,1,18/6/1
15,Wandscherbe,1,18/6/1
16,Wandscherbe,1,18/6/1
17,Wandscherbe,1,18/6/1
18,Wandscherbe,1,18/6/1
19,Wandscherbe,1,18/6/1
20,Wandscherbe,1,18/6/1
21,Wandscherbe,1,18/6/1
22,Wandscherbe,1,18/6/1
23,Wandscherbe,1,18/6/1
24,Wandscherbe,2,18/6/1 und 18/10/1
25,Wandscherbe,1,18/6/1
26,Wandscherbe,1,18/6/1
27,Wandscherbe,1,18/6/1
28,Randscherbe,3,18/4/1
29,Wandscherbe,3,18/4/1
30,Wandscherbe,3,18/4/1
31,Wandscherbe,3,18/4/1
32,Wandscherbe,3,18/4/1
33,Wandscherbe,3,18/4/1
34,Wandscherbe,3,18/4/1
35,Randscherbe,3,18/4/1
36,Wandscherbe,3,18/4/1
37,Wandscherbe,3,18/4/1
38,Wandscherbe,3,18/4/1
39,Wandscherbe,3,18/4/1
40,Bodenscherbe,3,18/4/1
41,Wand- oder Bodenscherbe,3,18/4/1
42,Randscherbe,4,18/11/1
43,Wand- oder Bodenscherbe,5,18/16/1
44,Wandscherbe,6,18/5/1 und 18/4/1
45,Wandscherbe,3,18/4/1
46,Wandscherbe,3,18/4/1
47,Wandscherbe,3,18/4/1
48,Wandscherbe,3,18/4/1
49,Wandscherbe,3,18/4/1
50,Wandscherbe,3,18/4/1
51,Wandscherbe,3,18/4/1
52,Wandscherbe,7,18/4/1 und 18/6/1
53,Randscherbe,3,18/4/1
54,Wandscherbe,8,18/1/1
55,Randscherbe,3,18/4/1
56,Randscherbe,4,18/11/1
57,Randscherbe,9,18/12/1
58,Wandscherbe,9,18/12/1
59,Wandscherbe,9,18/12/1
60,Wandscherbe,3,18/4/1
61,Wandscherbe,4,18/11/1
62,Wandscherbe,10,18/7/1
63,Wandscherbe,3,18/4/1
64,Wandscherbe,3,18/4/1
65,Wandscherbe,3,18/4/1
66,Wandscherbe,3,18/4/1
67,Randscherbe,11,18/7/1 und 18/8/2
68,Wandscherbe,4,18/11/1
69,Wandscherbe,9,18/12/1
70,Randscherbe,12,18/8/2 und 18/9/1
71,Randscherbe,13,18/8/2
72,Randscherbe,4,18/11/1
73,Randscherbe,3,18/4/1
74,Randscherbe,10,18/7/1
75,Wand- oder Bodenscherbe,3,18/4/1
76,Randscherbe,8,18/1/1
77,Wandscherbe,8,18/1/1
78,Wandscherbe,13,18/8/2
79,Randscherbe,13,18/8/2
80,Wandscherbe,14,18/8/1
81,Randscherbe,14,18/8/1
82,Wandscherbe,14,18/8/1
83,Randscherbe,15,18/5/1
84,Wandscherbe,3,18/4/1
85,Wandscherbe,16,18/7/1 und 18/4/1
86,Wandscherbe,17,18/12/1 und 18/14/1
87,Wandscherbe,3,18/4/1
88,Wandscherbe,1,18/6/1
89,Wandscherbe,3,18/4/1
90,Wandscherbe,3,18/4/1
91,Wandscherbe,9,18/12/1
92,Wandscherbe,3,18/4/1
93,Wandscherbe,9,18/12/1
94,Wandscherbe,9,18/12/1
95,Randscherbe,18,18/9/1
96,Boden- oder Wandscherbe,9,18/12/1
97,Wandscherbe,3,18/4/1
98,Wandscherbe,8,18/1/1
99,Wandscherbe,19,18/3/1
100,Wandscherbe,3,18/4/1
101,Wandscherbe,18,18/9/1
102,Wand- oder Bodenscherbe,3,18/4/1
103,Wandscherbe,15,18/5/1
104,Wandscherbe,3,18/4/1
105,Wandscherbe,10,18/7/1
106,Wandscherbe,9,18/12/1
107,Wandscherbe,9,18/12/1
108,Wandscherbe,9,18/12/1
109,Wandscherbe,4,18/11/1
110,Wandscherbe,15,18/5/1
111,Randscherbe,15,18/5/1
112,Wandscherbe,15,18/5/1
113,Wandscherbe,15,18/5/1
114,Wandscherbe,15,18/5/1
115,Wandscherbe,15,18/5/1
116,Randscherbe,15,18/5/1
117,Wandscherbe,15,18/5/1
118,Wandscherbe,15,18/5/1
119,Wandscherbe,15,18/5/1
120,Wandscherbe,15,18/5/1
121,Wandscherbe,15,18/5/1
122,Wandscherbe,15,18/5/1
123,Wandscherbe,15,18/5/1
124,Wandscherbe,15,18/5/1
125,Wandscherbe,15,18/5/1
126,Wandscherbe,15,18/5/1
127,Randscherbe,19,18/3/1
128,Randscherbe,19,18/3/1
129,Wandscherbe,19,18/3/1
130,Wandscherbe,19,18/3/1
131,Wandscherbe,19,18/3/1
132,Wandscherbe,19,18/3/1
133,Wandscherbe,19,18/3/1
134,Wandscherbe,19,18/3/1
135,Wandscherbe,19,18/3/1
136,Wandscherbe,19,18/3/1
137,Wandscherbe,19,18/3/1
138,Wandscherbe,19,18/3/1
139,Wandscherbe,3,18/4/1
140,Wandscherbe,3,18/4/1
141,Wandscherbe,3,18/4/1
142,Wandscherbe,3,18/4/1
143,Wandscherbe,3,18/4/1
144,Wandscherbe,3,18/4/1
145,Wandscherbe,3,18/4/1
146,Randscherbe,3,18/4/1
147,Wandscherbe,3,18/4/1
148,Wandscherbe,3,18/4/1
149,Wandscherbe,3,18/4/1
150,Wandscherbe,3,18/4/1
151,Wandscherbe,3,18/4/1
152,Wandscherbe,3,18/4/1
153,Wandscherbe,3,18/4/1
154,Wandscherbe,3,18/4/1
155,Wandscherbe,3,18/4/1
156,Wandscherbe,3,18/4/1
157,Randscherbe,3,18/4/1
158,Randscherbe,3,18/4/1
159,Randscherbe,3,18/4/1
160,Wandscherbe,3,18/4/1
161,Wandscherbe,3,18/4/1
162,Wandscherbe,3,18/4/1
163,Wandscherbe,3,18/4/1
164,Wandscherbe,3,18/4/1
165,Wandscherbe,3,18/4/1
166,Wandscherbe,3,18/4/1
167,Wandscherbe,3,18/4/1
